epoch,step,min,max,mean,std
1,5000,-0.17355410754680634,0.00024857433163560927,-0.08665276318788528,0.08690134435892105
2,10000,2.843246875272598e-05,0.10574579238891602,0.05288711190223694,0.05285868048667908
3,15000,1.975141913135303e-06,0.020474085584282875,0.01023802999407053,0.01023605465888977
4,20000,-0.07854912430047989,7.930988488169533e-08,-0.03927452117204666,0.03927459940314293
5,25000,1.1122543952524211e-07,0.2086949646472931,0.10434753447771072,0.10434743016958237
6,30000,5.51774181900555e-10,0.026490192860364914,0.013245096430182457,0.013245095498859882
7,35000,5.269412128861006e-10,0.13808155059814453,0.06904077529907227,0.06904077529907227
8,40000,5.620596765787411e-10,0.11443091183900833,0.057215455919504166,0.057215455919504166
9,45000,1.6831198934585956e-10,0.06664706766605377,0.033323533833026886,0.033323533833026886
10,50000,-0.13202831149101257,1.176701514005174e-09,-0.06601415574550629,0.06601415574550629
11,55000,-0.042086247354745865,2.1445367703876173e-10,-0.021043123677372932,0.021043123677372932
12,60000,-0.17631229758262634,1.9477151835811668e-10,-0.08815614879131317,0.08815614879131317
13,65000,-0.0727163553237915,8.360547809616037e-10,-0.03635817766189575,0.03635817766189575
14,70000,2.7781915656888145e-10,0.05018710345029831,0.025093551725149155,0.025093551725149155
15,75000,-0.13186132907867432,1.7206167046701637e-10,-0.06593066453933716,0.06593066453933716
16,80000,2.1837633090715514e-10,0.02012234553694725,0.010061172768473625,0.010061172768473625
17,85000,2.079094119089575e-10,0.05404592677950859,0.027022963389754295,0.027022963389754295
18,90000,1.1231416907619973e-09,0.1565558761358261,0.07827793806791306,0.07827793806791306
19,95000,-0.07065124064683914,1.869561311318435e-10,-0.03532562032341957,0.03532562032341957
20,100000,-0.021450122818350792,4.914053608473523e-10,-0.010725061409175396,0.01072506234049797
