epoch,step,min,max,mean,std
1,5000,-0.00726882042363286,0.00904154498130083,0.00012762713595293462,0.0013157891808077693
2,10000,-0.009207590483129025,0.010860921815037727,-0.0002572224475443363,0.0018084091134369373
3,15000,-0.007884958758950233,0.007198852952569723,6.111700349720195e-05,0.001212235656566918
4,20000,-0.014471597969532013,0.008623811416327953,3.96621908294037e-05,0.0016550879226997495
5,25000,-0.011714363470673561,0.011396845802664757,-0.0003388976911082864,0.0017788582481443882
6,30000,-0.012139336206018925,0.017685046419501305,0.00023292467813007534,0.0019258856773376465
7,35000,-0.018080398440361023,0.024847837164998055,2.3949527530930936e-05,0.0030325616244226694
8,40000,-0.014812999404966831,0.015899959951639175,0.00024537445278838277,0.0018931218655779958
9,45000,-0.016816213726997375,0.015665991231799126,-2.332968870177865e-05,0.001889268634840846
10,50000,-0.02340829372406006,0.01423443853855133,-0.0007324892212636769,0.002350092865526676
11,55000,-0.01853908784687519,0.03276211768388748,0.0007511210860684514,0.0033560197334736586
12,60000,-0.028931062668561935,0.010217695496976376,-0.00041448965203016996,0.0017647207714617252
13,65000,-0.012747952714562416,0.021362541243433952,0.0001622127165319398,0.0019268731120973825
14,70000,-0.015544875524938107,0.03145802766084671,-0.00029403314692899585,0.0022956598550081253
15,75000,-0.04188436269760132,0.01382722333073616,-0.0006300917011685669,0.004024621564894915
16,80000,-0.02132558450102806,0.047259461134672165,0.0012853458756580949,0.004695496987551451
17,85000,-0.038221921771764755,0.02737240307033062,0.00017712352564558387,0.005387205630540848
18,90000,-0.022697463631629944,0.018421443179249763,-7.452483987435699e-05,0.00295864325016737
19,95000,-0.03886723518371582,0.011350512504577637,-0.0011047120206058025,0.0038676566909998655
20,100000,-0.014718716964125633,0.02349170297384262,-0.0005260803154669702,0.002623226959258318
