epoch,step,min,max,mean,std
1,5000,-0.023172171786427498,0.013040576130151749,-0.00020740341278724372,0.0031752518843859434
2,10000,-0.017232531681656837,0.020817091688513756,0.0005165924085304141,0.003285253420472145
3,15000,-0.03874320909380913,0.03592570126056671,9.032090019900352e-06,0.004753285553306341
4,20000,-0.02577432617545128,0.04692983627319336,-0.0001715382531983778,0.005473954603075981
5,25000,-0.03715098276734352,0.04334113746881485,1.2862692528869957e-05,0.004133370704948902
6,30000,-0.03324797749519348,0.06692184507846832,-0.0006280399393290281,0.0051912106573581696
7,35000,-0.03603551164269447,0.03759974241256714,-0.00023538421373814344,0.0046501378528773785
8,40000,-0.03327430412173271,0.06857472658157349,5.1359431381570175e-05,0.007218804210424423
9,45000,-0.03419463336467743,0.14104461669921875,0.0002576116821728647,0.007221377920359373
10,50000,-0.017931461334228516,0.05792192742228508,0.00037605760735459626,0.004951032344251871
11,55000,-0.04652021825313568,0.09267520159482956,-0.00048606982454657555,0.005271591246128082
12,60000,-0.05966198444366455,0.061544135212898254,-0.00012381654232740402,0.005669344682246447
13,65000,-0.02512856014072895,0.07219523191452026,0.0005652194377034903,0.005674631334841251
14,70000,-0.05080287158489227,0.06673965603113174,-0.0002025117282755673,0.004776142071932554
15,75000,-0.033014483749866486,0.08331127464771271,-0.0003714800695888698,0.004005443304777145
16,80000,-0.07322993129491806,0.11924378573894501,0.0006026772316545248,0.007690587546676397
17,85000,-0.04847823828458786,0.09809140861034393,0.0018191677518188953,0.009372390806674957
18,90000,-0.05382241681218147,0.25589489936828613,0.0005118409171700478,0.008961392566561699
19,95000,-0.03939024731516838,0.06353755295276642,-0.00016613950720056891,0.005837780889123678
20,100000,-0.06514659523963928,0.030339783057570457,-0.0003458865685388446,0.0051707918755710125
